wave,family,level,n_rows,n_stimuli,human_mean,api_mean,signed_error_api_minus_human,mae,rmse,pearson_r,spearman_rho,lin_ccc,within_0_20_raw,within_0_50_raw
首轮专家复核,overall,all,852,142,4.329225352112676,3.9479916536254565,-0.38123369848721966,0.8398595275355839,1.063959763320228,0.09527233213706013,0.07962504017390919,0.08406750963986535,0.13732394366197184,0.3931924882629108
首轮专家复核,dimension,cc,142,142,4.326291079812207,2.8934272300469486,-1.4328638497652582,1.5040688575899843,1.6731070140632778,-0.05252385285056635,-0.0649794087923086,-0.012600815337494584,0.04225352112676056,0.1267605633802817
首轮专家复核,dimension,fa,142,142,4.523474178403756,4.115515314106863,-0.4079588642968926,0.7405097250167674,0.9152663647797984,0.14033989910942635,0.07227158663503043,0.11198654800469741,0.13380281690140844,0.4084507042253521
首轮专家复核,dimension,lc,142,142,4.3462441314554,4.484372904091214,0.13812877263581494,0.5612899619941873,0.736707105230874,-0.002583494230340687,0.005701018009091929,-0.0022479677176078616,0.1619718309859155,0.5915492957746479
首轮专家复核,dimension,mq,142,142,3.9377934272300474,3.8359713838587073,-0.1018220433713392,1.0149228705566735,1.1894038914679466,-0.0034413354785074683,-0.02707147792262426,-0.0031783697534094792,0.07042253521126761,0.2323943661971831
首轮专家复核,dimension,risk,142,142,4.400234741784039,4.142611222892913,-0.2576235188911245,0.6400290632685,0.8053295539115919,0.189587694646794,0.09851493939725178,0.16189557807115573,0.19014084507042253,0.47183098591549294
首轮专家复核,dimension,tf,142,142,4.441314553990611,4.216051866756093,-0.22526268723451823,0.5783366867873911,0.7410047249791708,0.2534286649312958,0.20411519125777142,0.2343357466860736,0.22535211267605634,0.528169014084507
首轮专家复核,task,A,282,47,4.1885342789598115,4.20488573680063,0.016351457840819567,0.7201114488348531,0.9237111463765916,0.0515379827108786,0.03372572717856944,0.05013755016460337,0.1702127659574468,0.4397163120567376
首轮专家复核,task,B,282,47,4.2736406619385345,3.6431048069345944,-0.63053585500394,0.9817572892040979,1.211819942799928,0.045844847907068824,0.05599110878439207,0.033819738475536265,0.11347517730496454,0.3262411347517731
首轮专家复核,task,C,288,48,4.521412037037037,3.994984567901235,-0.5264274691358026,0.8181712962962963,1.037055431384485,0.22750785939242363,0.1792691148922596,0.17773427228755734,0.1284722222222222,0.4131944444444444
首轮专家复核,domain,Biology,216,36,4.416666666666667,4.026234567901234,-0.39043209876543206,0.9480452674897119,1.1599601478419932,0.07613095652711334,0.0013416453283859086,0.06555522476927653,0.0787037037037037,0.3101851851851852
首轮专家复核,domain,Chemistry,216,36,4.104166666666667,4.084362139917695,-0.019804526748971197,0.7718621399176955,0.9826963713210659,0.07184999610409473,0.12986480749870083,0.07116449746430092,0.16666666666666666,0.4583333333333333
首轮专家复核,domain,Geoscience,216,36,4.665123456790123,3.7829218106995883,-0.882201646090535,0.9717078189300413,1.217043837285541,0.13839206583675934,0.1485004241734723,0.055344381013327275,0.13425925925925927,0.33796296296296297
首轮专家复核,domain,Physics,204,34,4.119281045751634,3.8955337690631806,-0.22374727668845318,0.657703081232493,0.8439967783435973,0.3225630205463561,0.23719587656585867,0.30299744794401895,0.1715686274509804,0.47058823529411764
二次专家复核,overall,all,180,30,3.8222922176579295,3.803827160493827,-0.01846505716410259,0.4964337968485285,0.5877819237740537,0.7205899457780122,0.620767270008991,0.6261747029831828,0.2,0.5666666666666667
二次专家复核,dimension,cc,30,30,3.198811925089015,2.7933333333333326,-0.40547859175568157,0.607881062579205,0.7124632207779548,0.37477636985438123,0.2547428793754854,0.2295346698850026,0.2,0.4666666666666667
二次专家复核,dimension,fa,30,30,4.077301347173637,3.947407407407407,-0.12989393976623076,0.4779731767773564,0.5636122933960783,0.6634921697754131,0.4212174098273413,0.5134450760900643,0.13333333333333333,0.5666666666666667
二次专家复核,dimension,lc,30,30,4.1635008309543915,4.383703703703704,0.22020287274931238,0.4031799306644508,0.4651774258752566,0.3752452173506859,0.34282454932333273,0.21495336648950475,0.23333333333333334,0.6666666666666666
二次专家复核,dimension,mq,30,30,3.4703271380322462,3.668148148148148,0.19782101011590172,0.4776838803038493,0.5681846734142061,0.8174149325089569,0.7620826352275376,0.6185588859332072,0.2,0.5666666666666667
二次专家复核,dimension,risk,30,30,3.9033376388833045,4.0088888888888885,0.10555125000558432,0.4789744209751949,0.5450820775221958,0.5611904979427836,0.3568920538193128,0.4706546270992724,0.2,0.5666666666666667
