stimulus_signature_sha256,dimension,domain_first,task_first,concept_id_first,human_score_first,n_human_raters_first,domain_second,task_second,concept_id_second,human_score_second,n_human_raters_second,selection_role,api_score,second_minus_first
ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,cc,Biology,A,C16,4.5,4,Biology,A,C16,3.375,16,low_human_disagreement_control,2.5555555555555554,-1.125
ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,fa,Biology,A,C16,4.75,4,Biology,A,C16,4.4375,16,low_human_disagreement_control,3.888888888888889,-0.3125
ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,lc,Biology,A,C16,4.5,4,Biology,A,C16,4.1875,16,low_human_disagreement_control,4.666666666666667,-0.3125
ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,mq,Biology,A,C16,4.75,4,Biology,A,C16,3.875,16,low_human_disagreement_control,3.7777777777777777,-0.875
ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,risk,Biology,A,C16,4.75,4,Biology,A,C16,4.25,16,low_human_disagreement_control,3.888888888888889,-0.5
ed47940408af18d43bf1885d7a9449aba6725177bae5f03b22291d9f77d3e704,tf,Biology,A,C16,4.25,4,Biology,A,C16,4.375,16,low_human_disagreement_control,3.888888888888889,0.125
74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,cc,Biology,A,C17,3.0,4,Biology,A,C17,3.125,16,high_human_disagreement,2.888888888888889,0.125
74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,fa,Biology,A,C17,4.5,4,Biology,A,C17,4.25,16,high_human_disagreement,4.333333333333333,-0.25
74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,lc,Biology,A,C17,3.75,4,Biology,A,C17,4.0,16,high_human_disagreement,4.777777777777778,0.25
74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,mq,Biology,A,C17,3.5,4,Biology,A,C17,3.5625,16,high_human_disagreement,4.333333333333333,0.0625
74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,risk,Biology,A,C17,3.25,4,Biology,A,C17,3.875,16,high_human_disagreement,4.555555555555555,0.625
74c5123fcdebc0e40a592550a30bcd77797fe20bf30610f7758d522ec1bfaf8b,tf,Biology,A,C17,4.25,4,Biology,A,C17,4.125,16,high_human_disagreement,4.555555555555555,-0.125
046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,cc,Biology,B,C13,3.75,4,Biology,B,C13,3.125,16,high_human_disagreement,2.0,-0.625
046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,fa,Biology,B,C13,4.0,4,Biology,B,C13,4.25,16,high_human_disagreement,3.0,0.25
046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,lc,Biology,B,C13,3.5,4,Biology,B,C13,4.0625,16,high_human_disagreement,3.888888888888889,0.5625
046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,mq,Biology,B,C13,3.75,4,Biology,B,C13,3.25,16,high_human_disagreement,2.6666666666666665,-0.5
046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,risk,Biology,B,C13,3.75,4,Biology,B,C13,4.375,16,high_human_disagreement,3.3333333333333335,0.625
046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,tf,Biology,B,C13,3.5,4,Biology,B,C13,4.25,16,high_human_disagreement,3.0,0.75
96a7e354cdb86fcc29fdae630e5af052ba4c46cf0135afe1b8b5952a900f2f88,cc,Biology,B,C16,3.0,4,Biology,B,C16,3.0,16,low_human_disagreement_control,2.111111111111111,0.0
96a7e354cdb86fcc29fdae630e5af052ba4c46cf0135afe1b8b5952a900f2f88,fa,Biology,B,C16,3.5,4,Biology,B,C16,3.5,16,low_human_disagreement_control,2.888888888888889,0.0
96a7e354cdb86fcc29fdae630e5af052ba4c46cf0135afe1b8b5952a900f2f88,lc,Biology,B,C16,3.75,4,Biology,B,C16,3.875,16,low_human_disagreement_control,3.888888888888889,0.125
96a7e354cdb86fcc29fdae630e5af052ba4c46cf0135afe1b8b5952a900f2f88,mq,Biology,B,C16,2.5,4,Biology,B,C16,2.5625,16,low_human_disagreement_control,2.111111111111111,0.0625
96a7e354cdb86fcc29fdae630e5af052ba4c46cf0135afe1b8b5952a900f2f88,risk,Biology,B,C16,3.0,4,Biology,B,C16,3.4375,16,low_human_disagreement_control,3.2222222222222223,0.4375
96a7e354cdb86fcc29fdae630e5af052ba4c46cf0135afe1b8b5952a900f2f88,tf,Biology,B,C16,3.0,4,Biology,B,C16,3.8125,16,low_human_disagreement_control,2.7777777777777777,0.8125
a62c7079c376d6fc9be8a020b27d7b964adbc97f7bf745fb9ffcd1203a3724d3,cc,Biology,C,C13,4.5,4,Biology,C,C13,3.4375,16,high_human_disagreement,3.111111111111111,-1.0625
a62c7079c376d6fc9be8a020b27d7b964adbc97f7bf745fb9ffcd1203a3724d3,fa,Biology,C,C13,4.5,4,Biology,C,C13,4.375,16,high_human_disagreement,4.666666666666667,-0.125
a62c7079c376d6fc9be8a020b27d7b964adbc97f7bf745fb9ffcd1203a3724d3,lc,Biology,C,C13,4.5,4,Biology,C,C13,4.1875,16,high_human_disagreement,4.555555555555555,-0.3125
a62c7079c376d6fc9be8a020b27d7b964adbc97f7bf745fb9ffcd1203a3724d3,mq,Biology,C,C13,4.25,4,Biology,C,C13,3.625,16,high_human_disagreement,4.555555555555555,-0.625
a62c7079c376d6fc9be8a020b27d7b964adbc97f7bf745fb9ffcd1203a3724d3,risk,Biology,C,C13,4.0,4,Biology,C,C13,4.25,16,high_human_disagreement,4.555555555555555,0.25
a62c7079c376d6fc9be8a020b27d7b964adbc97f7bf745fb9ffcd1203a3724d3,tf,Biology,C,C13,4.5,4,Biology,C,C13,4.3125,16,high_human_disagreement,4.888888888888889,-0.1875
a49502055a29f677d2b4aa44feef2d72516ea51150bffb7dd3ca86010e76b69d,cc,Biology,C,C15,4.75,4,Biology,C,C15,3.5625,16,low_human_disagreement_control,2.2222222222222223,-1.1875
a49502055a29f677d2b4aa44feef2d72516ea51150bffb7dd3ca86010e76b69d,fa,Biology,C,C15,5.0,4,Biology,C,C15,4.5,16,low_human_disagreement_control,4.111111111111111,-0.5
a49502055a29f677d2b4aa44feef2d72516ea51150bffb7dd3ca86010e76b69d,lc,Biology,C,C15,4.75,4,Biology,C,C15,4.3125,16,low_human_disagreement_control,3.888888888888889,-0.4375
a49502055a29f677d2b4aa44feef2d72516ea51150bffb7dd3ca86010e76b69d,mq,Biology,C,C15,4.5,4,Biology,C,C15,3.4375,16,low_human_disagreement_control,3.0,-1.0625
a49502055a29f677d2b4aa44feef2d72516ea51150bffb7dd3ca86010e76b69d,risk,Biology,C,C15,4.75,4,Biology,C,C15,4.5,16,low_human_disagreement_control,3.7777777777777777,-0.25
