wave,family,level,effect_key,n_rows,n_stimuli,n_domain_concepts,controls,slope,slope_raw,se_hc3,ci_low_hc3,ci_high_hc3,p_hc3,rank,ci_low,ci_high,ci_method,bootstrap_se,n_bootstrap_valid,bootstrap_invalid_proportion,bootstrap_routine_reportable,permutation_p,permutation_method,p_adjusted,multiplicity_method,practically_material_abs_ge_0_20,statistically_reliable_positive,adjusted_reliable_positive,omnibus_heterogeneity_p,omnibus_heterogeneity_p_holm,omnibus_heterogeneity_significant
首轮专家复核,overall,all,overall::all,1068,178,30,domain+task+dimension,0.23156385314634806,0.23156385314634806,0.0406245847843647,0.15194113008209936,0.31118657621059675,1.1974309227586923e-08,13,0.13289145850262601,0.33480702605769913,domain-stratified domain-by-concept cluster percentile bootstrap,0.05133486685718598,5000,0.0,True,0.00019998000199980003,spec-specific Freedman-Lane reduced-model residual permutation with shared joint-six-dimension domain-by-task maps,0.00019998000199980003,none,True,True,True,,,
首轮专家复核,dimension,cc,dimension::cc,178,178,30,domain+task,0.0831783034558942,0.0831783034558942,0.08018807929878918,-0.07398744395917446,0.2403440508709629,0.2996006627517256,8,-0.054992207099805526,0.22479718166154058,domain-stratified domain-by-concept cluster percentile bootstrap,0.07082583155040248,5000,0.0,True,0.28087191280871915,spec-specific Freedman-Lane reduced-model residual permutation with shared joint-six-dimension domain-by-task maps,0.28087191280871915,Benjamini-Hochberg,False,False,False,,,
首轮专家复核,dimension,fa,dimension::fa,178,178,30,domain+task,0.33555663695768373,0.33555663695768373,0.1518121155077688,0.03801035814562226,0.6331029157697452,0.027081462340196358,8,0.11449390500575549,0.5269299616789492,domain-stratified domain-by-concept cluster percentile bootstrap,0.11318050723868643,5000,0.0,True,0.0013998600139986002,spec-specific Freedman-Lane reduced-model residual permutation with shared joint-six-dimension domain-by-task maps,0.004199580041995801,Benjamini-Hochberg,True,False,True,,,
首轮专家复核,dimension,lc,dimension::lc,178,178,30,domain+task,0.1696628855619289,0.1696628855619289,0.09009363465530747,-0.006917393598783406,0.3462431647226412,0.05967544520091138,8,0.0420466408959036,0.3047741725463351,domain-stratified domain-by-concept cluster percentile bootstrap,0.06640276624264,5000,0.0,True,0.0182981701829817,spec-specific Freedman-Lane reduced-model residual permutation with shared joint-six-dimension domain-by-task maps,0.027447255274472553,Benjamini-Hochberg,False,False,True,,,
首轮专家复核,dimension,mq,dimension::mq,178,178,30,domain+task,0.12039105504585933,0.12039105504585933,0.061390923178901484,6.705663754721924e-05,0.24071505345417143,0.04987245876933292,8,0.002678774249814681,0.23182037639099087,domain-stratified domain-by-concept cluster percentile bootstrap,0.058066424831137775,5000,0.0,True,0.026197380261973803,spec-specific Freedman-Lane reduced-model residual permutation with shared joint-six-dimension domain-by-task maps,0.031436856314368565,Benjamini-Hochberg,False,False,True,,,
首轮专家复核,dimension,risk,dimension::risk,178,178,30,domain+task,0.25597454563644984,0.25597454563644984,0.12173898443327501,0.01737052063274855,0.4945785706401511,0.035496325461081446,8,0.07202621474225324,0.4332446733883928,domain-stratified domain-by-concept cluster percentile bootstrap,0.09395097135549041,5000,0.0,True,0.0072992700729927005,spec-specific Freedman-Lane reduced-model residual permutation with shared joint-six-dimension domain-by-task maps,0.014598540145985401,Benjamini-Hochberg,True,False,True,,,
首轮专家复核,dimension,tf,dimension::tf,178,178,30,domain+task,0.3671864367811188,0.3671864367811188,0.0904708660159496,0.18986679773970885,0.5445060758225287,4.93645684383901e-05,8,0.25631836290503496,0.5000210943323399,domain-stratified domain-by-concept cluster percentile bootstrap,0.062002165647912943,5000,0.0,True,9.999000099990002e-05,spec-specific Freedman-Lane reduced-model residual permutation with shared joint-six-dimension domain-by-task maps,0.0005999400059994002,Benjamini-Hochberg,True,False,True,,,
首轮专家复核,task,A,task::A,354,59,30,domain+dimension,0.06018518756406928,0.06018518756406928,0.07690356688161097,-0.0905430338065555,0.21091340893469407,0.4338585574904912,11,-0.16040594730456098,0.2783923322208373,domain-stratified domain-by-concept cluster percentile bootstrap,0.1107219512549699,5000,0.0,True,0.5626437356264373,spec-specific Freedman-Lane reduced-model residual permutation with shared joint-six-dimension domain-by-task maps,0.5626437356264373,Holm,False,False,False,0.08849115088491151,0.10518948105189481,False
首轮专家复核,task,B,task::B,354,59,30,domain+dimension,0.25434040827364346,0.25434040827364346,0.049139276827797715,0.1580291954648163,0.3506516210824706,2.2680440840529001e-07,11,0.14201818264205865,0.36919997973471746,domain-stratified domain-by-concept cluster percentile bootstrap,0.05860501041283741,5000,0.0,True,0.0011998800119988001,spec-specific Freedman-Lane reduced-model residual permutation with shared joint-six-dimension domain-by-task maps,0.0035996400359964006,Holm,True,False,True,0.08849115088491151,0.10518948105189481,False
首轮专家复核,task,C,task::C,360,60,30,domain+dimension,0.2803984195139403,0.2803984195139403,0.08652399622923881,0.11081450310615276,0.4499823359217278,0.0011923608899598493,11,0.026592921393322352,0.4975158823174248,domain-stratified domain-by-concept cluster percentile bootstrap,0.1356425176842996,5000,0.0,True,0.0058994100589941,spec-specific Freedman-Lane reduced-model residual permutation with shared joint-six-dimension domain-by-task maps,0.0117988201179882,Holm,True,False,True,0.08849115088491151,0.10518948105189481,False
