excluded_domain,excluded_concept_id,n_rows,n_stimuli,full_slope,leave_one_cluster_slope,delta_from_full,sign_reversal
Biology,C13,1032,172,0.23156385314634806,0.22638129021104147,-0.005182562935306584,False
Biology,C14,1032,172,0.23156385314634806,0.2470125741352713,0.015448720988923248,False
Biology,C15,1032,172,0.23156385314634806,0.24450104680341028,0.012937193657062224,False
Biology,C16,1032,172,0.23156385314634806,0.225091186064312,-0.00647266708203606,False
Biology,C17,1032,172,0.23156385314634806,0.23092272375569803,-0.0006411293906500304,False
Biology,C18,1032,172,0.23156385314634806,0.23133459830214032,-0.00022925484420774356,False
Chemistry,C07,1032,172,0.23156385314634806,0.22627993572315402,-0.0052839174231940345,False
Chemistry,C08,1032,172,0.23156385314634806,0.23587852751634855,0.004314674370000493,False
Chemistry,C09,1032,172,0.23156385314634806,0.23888553157497056,0.007321678428622497,False
Chemistry,C10,1032,172,0.23156385314634806,0.23560567347089495,0.004041820324546891,False
Chemistry,C11,1032,172,0.23156385314634806,0.23882150230544716,0.0072576491590991,False
Chemistry,C12,1032,172,0.23156385314634806,0.23597828131517418,0.004414428168826118,False
Climate/Environment,C25,1032,172,0.23156385314634806,0.2174207909713075,-0.01414306217504055,False
Climate/Environment,C26,1032,172,0.23156385314634806,0.2434069199532059,0.011843066806857844,False
Climate/Environment,C27,1032,172,0.23156385314634806,0.24171559426262745,0.010151741116279395,False
Climate/Environment,C28,1032,172,0.23156385314634806,0.22488137574809738,-0.006682477398250675,False
Climate/Environment,C29,1032,172,0.23156385314634806,0.2330990166382326,0.0015351634918845392,False
Climate/Environment,C30,1032,172,0.23156385314634806,0.23344934368058826,0.0018854905342401973,False
Geoscience,C19,1032,172,0.23156385314634806,0.23345147825592727,0.0018876251095792107,False
Geoscience,C20,1032,172,0.23156385314634806,0.22830551099324073,-0.0032583421531073298,False
Geoscience,C21,1032,172,0.23156385314634806,0.24283707666935467,0.011273223523006609,False
Geoscience,C22,1032,172,0.23156385314634806,0.2361415862185089,0.004577733072160833,False
Geoscience,C23,1032,172,0.23156385314634806,0.2326853871129037,0.001121533966555649,False
Geoscience,C24,1032,172,0.23156385314634806,0.22735400546118112,-0.00420984768516694,False
Physics,C01,1044,174,0.23156385314634806,0.23299503295043106,0.0014311798040829993,False
Physics,C02,1032,172,0.23156385314634806,0.23567124364652944,0.004107390500181385,False
Physics,C03,1032,172,0.23156385314634806,0.22377699904006784,-0.007786854106280217,False
Physics,C04,1032,172,0.23156385314634806,0.18427400920844042,-0.04728984393790764,False
Physics,C05,1032,172,0.23156385314634806,0.22328534238883607,-0.008278510757511987,False
Physics,C06,1032,172,0.23156385314634806,0.23534049837014226,0.0037766452237942005,False
