sensitivity_family,scenario,detail,inference_role,wave,n_rows,n_stimuli,controls,slope,ci_low_hc3,ci_high_hc3,p_hc3_unadjusted_descriptive
QC panel,final_primary,frozen one-factor QC change,descriptive_HC3_only,二次专家复核,180.0,30,domain+task+dimension+selection_role,0.6345162910252145,0.4581775712896454,0.8108550107607835,1.7572957151812294e-12
QC panel,final_primary,frozen one-factor QC change,descriptive_HC3_only,首轮专家复核,852.0,142,domain+task+dimension,0.1803250248910258,0.0872646770920811,0.27338537268997054,0.000145948299010295
QC panel,threshold_85,frozen one-factor QC change,descriptive_HC3_only,二次专家复核,180.0,30,domain+task+dimension+selection_role,0.6717460355064196,0.5084767648281615,0.8350153061846778,7.385760964968036e-16
QC panel,threshold_85,frozen one-factor QC change,descriptive_HC3_only,首轮专家复核,852.0,142,domain+task+dimension,0.1803250248910258,0.0872646770920811,0.27338537268997054,0.000145948299010295
QC panel,threshold_95,frozen one-factor QC change,descriptive_HC3_only,二次专家复核,180.0,30,domain+task+dimension+selection_role,0.5899705093028722,0.40717022896653393,0.7727707896392104,2.522549778432812e-10
QC panel,threshold_95,frozen one-factor QC change,descriptive_HC3_only,首轮专家复核,852.0,142,domain+task+dimension,0.22300119045057604,0.10583922479882081,0.3401631561023313,0.0001910898563659129
QC panel,attention_only,frozen one-factor QC change,descriptive_HC3_only,二次专家复核,180.0,30,domain+task+dimension+selection_role,0.7002234512249078,0.5398894890809633,0.8605574133688523,1.1314855998675926e-17
QC panel,attention_only,frozen one-factor QC change,descriptive_HC3_only,首轮专家复核,1068.0,178,domain+task+dimension,0.1778527391954261,0.11945366844308121,0.236251809947771,2.386893167553126e-09
QC panel,strict_first_both_pairs,frozen one-factor QC change,descriptive_HC3_only,首轮专家复核,420.0,70,domain+task+dimension,0.24596523080567073,0.0843732535192637,0.40755720809207774,0.002851257698251787
QC panel,second_case05_case07_mean,frozen one-factor QC change,descriptive_HC3_only,二次专家复核,180.0,30,domain+task+dimension+selection_role,0.6370691114927528,0.4597645521192537,0.8143736708662519,1.890874313773583e-12
API aggregation,ensemble_mean,all current ratings; complete 9/9 per UID,descriptive_HC3_only,首轮专家复核,852.0,142,domain+task+dimension,0.1803250248910258,0.0872646770920811,0.27338537268997054,0.000145948299010295
API aggregation,ensemble_mean,all current ratings; complete 9/9 per UID,descriptive_HC3_only,二次专家复核,180.0,30,domain+task+dimension+selection_role,0.6345162910252145,0.4581775712896454,0.8108550107607835,1.7572957151812294e-12
API aggregation,equivalence_class_median,median across all current ratings from every text-equivalent UID,descriptive_HC3_only,首轮专家复核,852.0,142,domain+task+dimension,0.1223652566711614,0.05437044094855205,0.19036007239377073,0.00041997514837530776
API aggregation,equivalence_class_median,median across all current ratings from every text-equivalent UID,descriptive_HC3_only,二次专家复核,180.0,30,domain+task+dimension+selection_role,0.39837766025278215,0.25586945474609313,0.5408858657594712,4.276785560335975e-08
