wave,domain,task,item_local_id,item_text_hash,item_text_sha256,item_text_utf8_characters
首轮专家复核,化学,Task A,Q7,38ec855f69f8d0ef,38ec855f69f8d0ef807ffb92cfbd272f140ffe1338b008aacb1da0380b536099,80
首轮专家复核,化学,Task A,Q8,7f3e1ddf7b354b7d,7f3e1ddf7b354b7dc53050e65b5cba08ddb93053899e1667e6bffcb14d9731a1,77
首轮专家复核,化学,Task A,Q9,af5a61e34bebf158,af5a61e34bebf1586c81ae8fa535ec279a054233c4f477f5833d79a98fae11fb,83
首轮专家复核,化学,Task A,Q10,6e9a14a3612405b5,6e9a14a3612405b5fdfbbe6476f39b9ff6eefebbb481534cfb7d231ad195c56f,76
首轮专家复核,化学,Task A,Q11,21ecdc0b010ca23e,21ecdc0b010ca23e48aaa328c751bea55fa1a8225e4c23bba9cd2ed49cac4cae,67
首轮专家复核,化学,Task A,Q12,06dc817c5e5fc2e5,06dc817c5e5fc2e5dcea890925bbddd4860d82af12c9bdd2c3bc800fe984d3c7,73
首轮专家复核,化学,Task A,Q13,681900119b1731d6,681900119b1731d6633cb30552874c2be7fc802c9774c532b5ce89dc64e9a6f0,74
首轮专家复核,化学,Task A,Q14,f4f9321846b25339,f4f9321846b253396ca8251a29c2d8033d2d173b57d9ab4f0dc28752eeea6bd4,78
首轮专家复核,化学,Task A,Q15,5ebd98a5e36682a1,5ebd98a5e36682a1f4d9515c5152c7cf3a8c9048acd90c2943f17b08e93ee477,75
首轮专家复核,化学,Task A,Q16,1a4f05e257017bcb,1a4f05e257017bcba8492a3f4987a4ba3075a4dad2f2d2fe175d0795a017bb1b,67
首轮专家复核,化学,Task A,Q17,07d326f3d99175b3,07d326f3d99175b338a129578f4f45ff8963e3e99be0669086f5377c8ebce242,80
首轮专家复核,化学,Task A,Q18,076987482c6220ca,076987482c6220ca62986e4a92d584589f4627939ebaabed6e1685c60eda3577,100
首轮专家复核,化学,Task B,Q20,7a61a214e5c08afb,7a61a214e5c08afbe4d3aa27124624605c8d787f7bdeea9568310cedbf71b799,71
首轮专家复核,化学,Task B,Q21,04fa59d854256f96,04fa59d854256f961586206d8dd60eab739b71c69c02db629465a272ad878f14,94
首轮专家复核,化学,Task B,Q22,a56430daa2275999,a56430daa22759998e0cdc3951a5d327ae011713fd2756e75d6b1d90c7a75522,78
首轮专家复核,化学,Task B,Q23,4cb45f752ec54a23,4cb45f752ec54a23b7c4f15c395e54183c072f49feab3166d47b415672134d6a,83
首轮专家复核,化学,Task B,Q24,f2df91dc12ec6349,f2df91dc12ec63496402054cedc981bfa7983ec14499ee6c451f08b7317af694,73
首轮专家复核,化学,Task B,Q25,f44bdc1a04efa31d,f44bdc1a04efa31d52e19abd121f15038c4ce3afbdd0dd5e4dc227c3e0988b8c,62
首轮专家复核,化学,Task B,Q26,8552b6945648d0e4,8552b6945648d0e4abd62f561aab983773b314d84549dda876bf8afbf1deabf0,79
首轮专家复核,化学,Task B,Q27,805939070975934a,805939070975934a7b99350e397e2777b62e5e5bc1050a7e5a6fd586297a39f3,96
首轮专家复核,化学,Task B,Q28,0b5340479f023f43,0b5340479f023f432b8f97fb0f5a88901c2368b8ee6e7b3bef7137a4b96e2e17,87
首轮专家复核,化学,Task B,Q29,dfa155c7f49d2e9b,dfa155c7f49d2e9b7a4b0b80032ac438d15d617ca91ba781896dbd7da1767f30,87
首轮专家复核,化学,Task B,Q30,35966976c13e002f,35966976c13e002f6654ce19228001862a8a4dc773746ef5404ba28cc2495a86,93
首轮专家复核,化学,Task B,Q31,68a98541fac871f2,68a98541fac871f2fab64d60e652fc04026262ebbe0b899f073847808a0710a4,94
首轮专家复核,化学,Task C,Q33,076a6f0a26d0a64a,076a6f0a26d0a64aa6636e2a78cfee0547e3a908cc342cd4e7354bffa2128e1e,124
首轮专家复核,化学,Task C,Q34,faa446098c9bb43e,faa446098c9bb43e8b2bdc75e9c9dacdc606dcbe702ad920c2cdefeeacd512b2,94
首轮专家复核,化学,Task C,Q35,e493a06423f76897,e493a06423f76897d5f739d450f13fc55ea6206c948a16bb87ce8b838c3db8cf,94
首轮专家复核,化学,Task C,Q36,61fa1a4f7ac34ee6,61fa1a4f7ac34ee62fa2333644fe17c6ff2095f19386bef48c1d808610b1a28b,99
首轮专家复核,化学,Task C,Q37,8fb07b2bf5bcfd68,8fb07b2bf5bcfd6806b95d46dee76c7c40bc04d70a396091e93beef1a072d217,88
首轮专家复核,化学,Task C,Q38,c78c494c5e046005,c78c494c5e046005e319adc91b310d03be313410cc48c9201a907cc98ee28b48,80
首轮专家复核,化学,Task C,Q39,2ef83efb4a241f42,2ef83efb4a241f42426d0b0ee731ca122c4d5b0af80e3ba3e3e92561606318e5,93
首轮专家复核,化学,Task C,Q40,5d520a803fe7f445,5d520a803fe7f445bafa800e34218f5083a980132a3f31883fadfacc5aad522a,138
首轮专家复核,化学,Task C,Q41,0e65012e9b82893f,0e65012e9b82893fb33da1df201d2f7ab1030666106a3b1c28d83963be78f01e,136
首轮专家复核,化学,Task C,Q42,155ceb83b8a5e18e,155ceb83b8a5e18e95c5707f4f12c3fa3a268b9baac2ca019a554e69d71d6a20,106
首轮专家复核,化学,Task C,Q43,8fd56586aedf328c,8fd56586aedf328c172e4ca0ee2d281c4b45e1bbeef5cdaac7692879909b937c,116
首轮专家复核,化学,Task C,Q44,66bd26248cc2756b,66bd26248cc2756ba40835fc8c85787e2e6c4244be834f678ee3ddc6a2ee355f,88
首轮专家复核,地理,Task A,Q7,3a66e9e2806e1650,3a66e9e2806e165050ce4c31e9f95efe69a27a32d64dfa6b7f6fd64a9b50995c,77
首轮专家复核,地理,Task A,Q8,fc77b371dbf0b4a7,fc77b371dbf0b4a79b5ebc2ea38b6fbfa4a1aa239b8212773e4b767669da8eaa,79
首轮专家复核,地理,Task A,Q9,bc34e46bd7986678,bc34e46bd79866785964075b7b02b6bf0ef23157f471b8ec42daaad1bf36b51b,88
首轮专家复核,地理,Task A,Q10,c01b60c2c429d940,c01b60c2c429d940624e8d229625753fcd0c0a235421ee2657c8046b8413bd48,80
首轮专家复核,地理,Task A,Q11,d946f1c605c773ad,d946f1c605c773ad8ac9236e8ef8ae9e9a7e27be626859909cc1714edf65d309,77
首轮专家复核,地理,Task A,Q12,f1f8aecaaa87b451,f1f8aecaaa87b4513e3cda9316d9731be37b0e7a78f88ece27a0fc114c1e2be3,80
首轮专家复核,地理,Task A,Q13,8ed08cca4396eeea,8ed08cca4396eeea95697e4834e53ab7ce9e0af8fda4e76da674eb1d8e4bfa50,72
首轮专家复核,地理,Task A,Q14,daa99e899ffd0a05,daa99e899ffd0a057e6f25bb73d4237c00745b220810ee6aa7a0fb977186bab7,75
首轮专家复核,地理,Task A,Q15,8f4a2a7e690f4202,8f4a2a7e690f4202b693a09cdfcf25de20aa37e8ddcb191cc391b7d29f4cd7e9,83
首轮专家复核,地理,Task A,Q16,13e2552913d50dda,13e2552913d50dda3afa0406fa4359c645cdf2c16c13f3d98fc491963e3d25a5,69
首轮专家复核,地理,Task A,Q17,e7b55c1efa3fedde,e7b55c1efa3fedde9e10780b45158868d78f4eb2d5528bbf7b59b1ca601d1243,94
首轮专家复核,地理,Task A,Q18,7a6222b3d3e49d93,7a6222b3d3e49d932f838e142b9b21d10a3f58d0b9bb8d045e68ab98d17d10b7,97
首轮专家复核,地理,Task B,Q20,0bced8f29002322d,0bced8f29002322dad1df9e18583c3e5b8ce9e1f4f1936a1cfb9a5d3ce8d4b38,71
首轮专家复核,地理,Task B,Q21,43cad4cc795bca81,43cad4cc795bca81ac12efc1dc8868bb57698c6f3ad3aa6a2026f41f1d101c2c,91
首轮专家复核,地理,Task B,Q22,ae83fb34cc831853,ae83fb34cc83185308d3978bf29ae62b77c75e9050c09e4e79bc840cd974a4ae,84
首轮专家复核,地理,Task B,Q23,5029c11f05bdec0c,5029c11f05bdec0cf3b28157b95999aa1693c5b96f8aec398355e37b673627bc,89
首轮专家复核,地理,Task B,Q24,11f23069470369f4,11f23069470369f4ec468a0acf68a15beddbd401bcce28e3d7d6104fd0f11831,80
首轮专家复核,地理,Task B,Q25,cc0f519cc1971a9a,cc0f519cc1971a9a328939802010f0a05ea8e438f74b1b9efa2bd13fc91fac38,70
首轮专家复核,地理,Task B,Q26,acced08a8cbcd0c0,acced08a8cbcd0c0e53103ffd50ee3f0346eb2a415e5ff834d3f58d5de21a884,69
首轮专家复核,地理,Task B,Q27,f7971823487864ab,f7971823487864ab5e85a223f6fc8effd3a996259f568177f192d408136a53b2,95
首轮专家复核,地理,Task B,Q28,f0f15fb94300f7ed,f0f15fb94300f7ed0c9a7fe353dd56523f152cb7a39e2f62eda742e7577ca409,95
首轮专家复核,地理,Task B,Q29,82f54aa0392fe9d8,82f54aa0392fe9d822c41255cad6910e32e43bd4c15c49a4d27e941cd4c1b44f,87
首轮专家复核,地理,Task B,Q30,9bdb4777851c6dcf,9bdb4777851c6dcf503fcbe75f346e92f5fd32dc44c04d31a717aae1e63cedee,90
首轮专家复核,地理,Task B,Q31,80da7d68305e89e0,80da7d68305e89e09eb0182956be53c18abf3caf7117b2635e823560b805bbf5,91
首轮专家复核,地理,Task C,Q33,98cd337f0354e650,98cd337f0354e65015344cd6bf68f0e827594f20bdf19c71dcf2d46772b34a94,123
首轮专家复核,地理,Task C,Q34,bab14269c8457ed5,bab14269c8457ed5c76ea06a988de07668402c7c93a9ab1575429216a90c310f,98
首轮专家复核,地理,Task C,Q35,9e83c863610e38a4,9e83c863610e38a49f45abd76bab540e12285469a506b5e2f597fa4c8a696054,74
首轮专家复核,地理,Task C,Q36,9c8e8425387be3aa,9c8e8425387be3aa9a4e381f6c14c47998161a36969b2312c08b2a9ca4cec547,88
首轮专家复核,地理,Task C,Q37,3bf146737b43b9ee,3bf146737b43b9ee22fee9c07dd09104686f5f9dbfb0024dcd39531f91be6294,89
首轮专家复核,地理,Task C,Q38,33186b205f8bdf66,33186b205f8bdf668c23d5e352684b72703a85eb6c2cf7fdce3427e5cfcd9832,88
首轮专家复核,地理,Task C,Q39,890761cb5ae1623f,890761cb5ae1623f9f2de7b20d94b0306e70f3a4b14d46deae74a3ae58366032,84
首轮专家复核,地理,Task C,Q40,dd0d2580e9eeef97,dd0d2580e9eeef97f90eea75d04f44e29dab70674c4d49c76ef3cfd5f3f398ef,130
首轮专家复核,地理,Task C,Q41,4be33a6cd62ab5b4,4be33a6cd62ab5b4cdd2ba14948a1ae502c1c1c6044fb2742c5db6d67ba1bcd5,138
首轮专家复核,地理,Task C,Q42,489943812e53de3e,489943812e53de3e7b587f278a36843e1d95b8c6b67dae75933b2cbe455924a4,115
首轮专家复核,地理,Task C,Q43,8dfd757311b420dc,8dfd757311b420dc88bc81bc79b9bea0b057bae14366e573688c0e1cbb080ef4,110
首轮专家复核,地理,Task C,Q44,9c2a4da741399a54,9c2a4da741399a543e40994416eb92cba2ead9b3b49b27a485fd70cadfc81c5d,94
首轮专家复核,大气科学,Task A,Q7,b28569e6d9a003e1,b28569e6d9a003e1773bf9dad812fb514ae84bf47d2bc3e5b388e950100f4790,79
首轮专家复核,大气科学,Task A,Q8,8aeb952226ecc55b,8aeb952226ecc55b8f45b96bd8e6eee352e991aac750e4f444a601359a34176f,87
首轮专家复核,大气科学,Task A,Q9,b9f74509800718aa,b9f74509800718aa5494252a604b913294e179ce8a4df8d494473a2c9ffdf8c9,89
首轮专家复核,大气科学,Task A,Q10,bab6efa9ba28e61c,bab6efa9ba28e61c5bbfa2df898ba5f2166f69751461785f9e0b678083803843,78
首轮专家复核,大气科学,Task A,Q11,ad4f63b1376756a7,ad4f63b1376756a7157232967aca69cab1e18c844bda7e16abf29a069f58a09e,79
首轮专家复核,大气科学,Task A,Q12,428d878ecc8c2a63,428d878ecc8c2a63e11fb123d98070c87a4e33a4a2a9546bfd72fa7b2a106193,92
首轮专家复核,大气科学,Task A,Q13,0e6a7120bc6f381b,0e6a7120bc6f381bb51d853b9d8c24d0302a18fe83f4f973d423649aa4e37aa2,82
首轮专家复核,大气科学,Task A,Q14,61cfef5470fc17a9,61cfef5470fc17a901771edb8406accf54c486550d2292cb4bc5db29d282cdfa,81
首轮专家复核,大气科学,Task A,Q15,7456f26ff08a946d,7456f26ff08a946d085f1342146c6eb5f2220e50392228059f5159cccae9c267,74
首轮专家复核,大气科学,Task A,Q16,2d949c68cfa8f30f,2d949c68cfa8f30f7dc9abf88820cb3c7f2e874e2f66f00997daec2e5b12511e,71
首轮专家复核,大气科学,Task A,Q17,c0ae4edf865d953e,c0ae4edf865d953e84a1fcb60b8c7dc61da60ce08fa372e319f4904b08d725ac,101
首轮专家复核,大气科学,Task A,Q18,7bfe03758454a40a,7bfe03758454a40a5135aa15d80871541f1c99e29f5a2a06094b06bcb21b971e,111
首轮专家复核,大气科学,Task B,Q20,e4238077c0af96c8,e4238077c0af96c8e4f50bd81332c29b134427ee5ad8f15b08adfad5ea94b49c,69
首轮专家复核,大气科学,Task B,Q21,6e2e2d78c8eca32c,6e2e2d78c8eca32c05ff2db26c1fc24608e3bc55021c70e31ec58e86d3a6583c,96
首轮专家复核,大气科学,Task B,Q22,7ff45b39fffd3176,7ff45b39fffd31761ead3fa1e24bc54f3b2b9eb775b2f75e8bff5d545c540319,80
首轮专家复核,大气科学,Task B,Q23,2cd6324a84d029e8,2cd6324a84d029e8197fa223055bca543376d7190327177d38b7b70ef84736c9,86
首轮专家复核,大气科学,Task B,Q24,b542520a86f999c4,b542520a86f999c4a9b2a004d518acff18766baa7813e4e956b21ef8ad06a9bd,88
