method_id,method_type,method_label,stimulus_signature_sha256,domain,task,concept_id,concept,dimension,human_score,api_score,human_z,api_z,api_z_on_primary_mean_scale,risk_direction
ensemble::mean,ensemble,Nine-judge mean,019e88b53ecb4d518ef7b1c250cbcd4be223c022714d1cc58f844c16cf73a33e,Geoscience,C,C24,地球内部结构,cc,4.75,2.888888888888889,1.2767664890723485,0.05488991121113676,0.05488991121113676,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,019e88b53ecb4d518ef7b1c250cbcd4be223c022714d1cc58f844c16cf73a33e,Geoscience,C,C24,地球内部结构,fa,5.0,4.333333333333333,1.138536525523738,0.4454303479404996,0.4454303479404996,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,019e88b53ecb4d518ef7b1c250cbcd4be223c022714d1cc58f844c16cf73a33e,Geoscience,C,C24,地球内部结构,lc,4.5,4.666666666666667,0.6938256333459113,0.472705174230036,0.472705174230036,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,019e88b53ecb4d518ef7b1c250cbcd4be223c022714d1cc58f844c16cf73a33e,Geoscience,C,C24,地球内部结构,mq,4.75,3.5555555555555554,1.2837402898214085,-0.4013531962708536,-0.4013531962708536,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,019e88b53ecb4d518ef7b1c250cbcd4be223c022714d1cc58f844c16cf73a33e,Geoscience,C,C24,地球内部结构,risk,4.75,4.333333333333333,0.892074149364074,0.4116281344669344,0.4116281344669344,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,019e88b53ecb4d518ef7b1c250cbcd4be223c022714d1cc58f844c16cf73a33e,Geoscience,C,C24,地球内部结构,tf,5.0,4.777777777777778,1.6291965777830149,0.9472806174769742,0.9472806174769742,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,029a9f264b437617a5933e61c40b1f32791439ab769bd51144518c3456f23a44,Climate/Environment,C,C28,二氧化碳的气候作用,cc,4.25,2.2222222222222223,0.34535486999497966,-1.3021106715086428,-1.3021106715086428,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,029a9f264b437617a5933e61c40b1f32791439ab769bd51144518c3456f23a44,Climate/Environment,C,C28,二氧化碳的气候作用,fa,4.25,3.7777777777777777,-0.47413855306956704,-0.5675025866737948,-0.5675025866737948,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,029a9f264b437617a5933e61c40b1f32791439ab769bd51144518c3456f23a44,Climate/Environment,C,C28,二氧化碳的气候作用,lc,4.0,4.0,-0.36626846738861396,-1.1455491908875353,-1.1455491908875353,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,029a9f264b437617a5933e61c40b1f32791439ab769bd51144518c3456f23a44,Climate/Environment,C,C28,二氧化碳的气候作用,mq,4.25,3.0,0.6261697240999389,-1.2411001108219746,-1.2411001108219746,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,029a9f264b437617a5933e61c40b1f32791439ab769bd51144518c3456f23a44,Climate/Environment,C,C28,二氧化碳的气候作用,risk,4.25,3.6666666666666665,-0.012707608965299468,-0.9719398599916594,-0.9719398599916594,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,029a9f264b437617a5933e61c40b1f32791439ab769bd51144518c3456f23a44,Climate/Environment,C,C28,二氧化碳的气候作用,tf,4.5,4.0,0.6044722285060657,-0.29923903274996033,-0.29923903274996033,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,02ec453fde19db8278c302069ded4fdca6673ad0969161f8c08ac17ff0415bd8,Biology,B,C13,自然选择,cc,4.0,3.3333333333333335,-0.12035093954370472,0.9595569663576571,0.9595569663576571,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,02ec453fde19db8278c302069ded4fdca6673ad0969161f8c08ac17ff0415bd8,Biology,B,C13,自然选择,fa,4.5,4.333333333333333,0.06341980646153468,0.4454303479404996,0.4454303479404996,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,02ec453fde19db8278c302069ded4fdca6673ad0969161f8c08ac17ff0415bd8,Biology,B,C13,自然选择,lc,4.0,4.444444444444445,-0.36626846738861396,-0.06671294747582107,-0.06671294747582107,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,02ec453fde19db8278c302069ded4fdca6673ad0969161f8c08ac17ff0415bd8,Biology,B,C13,自然选择,mq,4.0,4.555555555555555,0.297384441239204,1.1101912499211648,1.1101912499211648,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,02ec453fde19db8278c302069ded4fdca6673ad0969161f8c08ac17ff0415bd8,Biology,B,C13,自然选择,risk,4.25,4.444444444444445,-0.012707608965299468,0.6422228002100344,0.6422228002100344,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,02ec453fde19db8278c302069ded4fdca6673ad0969161f8c08ac17ff0415bd8,Biology,B,C13,自然选择,tf,4.25,4.333333333333333,0.09211005386759116,0.23498367449015406,0.23498367449015406,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0358143b629143726febaaa5c42108b9cc99482f209b1842f2506066bc60c7f3,Biology,C,C17,能量流动与物质循环,cc,4.25,3.4444444444444446,0.34535486999497966,1.1857237301442873,1.1857237301442873,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0358143b629143726febaaa5c42108b9cc99482f209b1842f2506066bc60c7f3,Biology,C,C17,能量流动与物质循环,fa,5.0,4.444444444444445,1.138536525523738,0.6480169348633595,0.6480169348633595,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0358143b629143726febaaa5c42108b9cc99482f209b1842f2506066bc60c7f3,Biology,C,C17,能量流动与物质循环,lc,4.5,4.777777777777778,0.6938256333459113,0.7424142350829634,0.7424142350829634,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0358143b629143726febaaa5c42108b9cc99482f209b1842f2506066bc60c7f3,Biology,C,C17,能量流动与物质循环,mq,4.25,4.333333333333333,0.6261697240999389,0.774292484100716,0.774292484100716,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0358143b629143726febaaa5c42108b9cc99482f209b1842f2506066bc60c7f3,Biology,C,C17,能量流动与物质循环,risk,4.5,4.444444444444445,0.4396832701993873,0.6422228002100344,0.6422228002100344,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,0358143b629143726febaaa5c42108b9cc99482f209b1842f2506066bc60c7f3,Biology,C,C17,能量流动与物质循环,tf,4.0,4.777777777777778,-0.4202521207708834,0.9472806174769742,0.9472806174769742,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,039a757c47dd75a61e17599d99771e2f8690ae46d00c44dfde41db2675b057ce,Biology,A,C15,随机变异与非随机选择,cc,3.25,3.4444444444444446,-1.5174683681597578,1.1857237301442873,1.1857237301442873,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,039a757c47dd75a61e17599d99771e2f8690ae46d00c44dfde41db2675b057ce,Biology,A,C15,随机变异与非随机选择,fa,3.5,4.777777777777778,-2.086813631662872,1.2557766956319358,1.2557766956319358,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,039a757c47dd75a61e17599d99771e2f8690ae46d00c44dfde41db2675b057ce,Biology,A,C15,随机变异与非随机选择,lc,4.0,4.888888888888889,-0.36626846738861396,1.012123295935893,1.012123295935893,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,039a757c47dd75a61e17599d99771e2f8690ae46d00c44dfde41db2675b057ce,Biology,A,C15,随机变异与非随机选择,mq,3.75,4.888888888888889,-0.03140084162153082,1.6140393986518384,1.6140393986518384,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,039a757c47dd75a61e17599d99771e2f8690ae46d00c44dfde41db2675b057ce,Biology,A,C15,随机变异与非随机选择,risk,3.5,4.777777777777778,-1.3698802464593598,1.334006797439331,1.334006797439331,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,039a757c47dd75a61e17599d99771e2f8690ae46d00c44dfde41db2675b057ce,Biology,A,C15,随机变异与非随机选择,tf,3.75,4.888888888888889,-0.9326142954093579,1.12535485322368,1.12535485322368,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,Biology,B,C13,自然选择,cc,3.75,2.0,-0.5860567490823891,-1.754444199081903,-1.754444199081903,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,Biology,B,C13,自然选择,fa,4.0,3.0,-1.0116969126006687,-1.9856086951338074,-1.9856086951338074,quality_aligned_high_is_good; aligned risk = 6 - raw risk
ensemble::mean,ensemble,Nine-judge mean,046de241962c9004b6cb7c32b13be71084ca8fbca5c3387843866f703c6958fc,Biology,B,C13,自然选择,lc,3.5,3.888888888888889,-1.4263625681231393,-1.4152582517404637,-1.4152582517404637,quality_aligned_high_is_good; aligned risk = 6 - raw risk
