method_id,method_type,method_label,expected_judges_per_source_uid,definition,risk_direction,n_rows,n_stimuli,n_domain_concept_clusters,controls,standardized_beta,beta_on_primary_mean_frozen_scale,lin_ccc_quality_aligned_raw_scale,mae_quality_aligned_raw_scale,rmse_quality_aligned_raw_scale,spearman_rho_quality_aligned_raw_scale,pearson_r_quality_aligned_raw_scale,human_mean_quality_aligned,api_mean_quality_aligned,bootstrap_ci_low,bootstrap_ci_high,bootstrap_se,bootstrap_valid_draws,freedman_lane_p_two_sided,freedman_lane_p_holm_13,inference_scope
single::anthropic,single_judge,Claude Sonnet 4.6,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.12270531053436684,0.07398383260258334,0.04684405696849966,1.3979534510433387,1.6688379955205743,0.12288737737999204,0.12245062041491285,4.157303370786517,2.860941680042804,0.021083713536878542,0.21733301316251064,0.049444793232399684,5000,0.006899310068993101,0.027597240275972403,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::deepseek,single_judge,DeepSeek-V4 Expert Mode,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.17817149230842905,0.12409740797248488,0.1570333331691137,0.8536650615302301,1.0781309891279234,0.17893320182377426,0.18954937509679884,4.157303370786517,3.844301765650081,0.08079004433987211,0.2903210510886324,0.05446677264300558,5000,0.0033996600339966003,0.0197980201979802,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::doubao,single_judge,Doubao 2.0 Pro,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.16219598596668994,0.10810632255265017,0.11893315252436973,0.9819957196361692,1.209474464263917,0.1344764920995594,0.1562101089434512,4.157303370786517,3.7443285179240235,0.08490513679526782,0.24781807304547224,0.04116771742365574,5000,0.00039996000399960006,0.0027997200279972004,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::gemini,single_judge,Gemini 3.1 Pro,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.21303496755684034,0.18414132230040647,0.17164875741178218,0.726123595505618,0.9162188214825928,0.18481363330239844,0.1973478342514528,4.157303370786517,4.487265917602996,0.12589632008841015,0.30325391574061683,0.04641334801385193,5000,9.999000099990002e-05,0.0012998700129987003,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::glm,single_judge,GLM-5.1,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.09843468598300939,0.05647544277121874,0.13975904267723532,0.92125468164794,1.132327934837812,0.14665757514205618,0.16474940342534738,4.157303370786517,4.143365436062066,-0.0021916242579640356,0.19943388120746705,0.051389493440542326,5000,0.024197580241975804,0.05699430056994301,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::kimi,single_judge,Kimi K2.6 Thinking,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.12022359055013117,0.0798325343537893,0.09495607487491847,0.8765115034777955,1.0769037915946762,0.11693496990737183,0.107950803044084,4.157303370786517,3.9989566613162117,0.06377193305312076,0.1841082286711678,0.030731705518732708,5000,0.0032996700329967,0.0197980201979802,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::mimo,single_judge,Mimo v2.5 Pro,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.10313313156907696,0.05265869077116545,0.08459730569870609,1.0113028357410379,1.3250707546305562,0.13398573131825445,0.11124691032665536,4.157303370786517,3.9318084537185665,0.030415601017966705,0.17975551042755722,0.0379046657036642,5000,0.050294970502949704,0.05699430056994301,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::openai,single_judge,GPT-5.5 Thinking,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.19047814872275046,0.14721075963473054,0.1334923826633981,0.7742108079186731,0.9721484523029335,0.12226417188794422,0.14356689669691655,4.157303370786517,4.074585339753879,0.09271942047150178,0.2895046616171874,0.05003596967298063,5000,9.999000099990002e-05,0.0012998700129987003,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::qwen,single_judge,Qwen3.5 Thinking,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.1397340356645397,0.09872749651212244,0.09875398289987417,0.8508159443552702,1.0805942890035998,0.1045433532140768,0.11179157138198621,4.157303370786517,4.262948100588551,0.021977105341341754,0.26267539118166316,0.06257220886368632,5000,0.018998100189981004,0.05699430056994301,conditional association in the fixed broad-review panel; concept-cluster uncertainty
ensemble::mean,ensemble,Nine-judge mean,9,arithmetic mean of the nine judge-family values for each visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.231563853146348,0.231563853146348,0.17247891376148078,0.6964018191546282,0.8914207590147505,0.17788400446397237,0.18740059072863863,4.157303370786517,3.927611319184353,0.13289145850262604,0.3348070260576986,0.05133486685718598,5000,0.00019998000199980003,0.0021997800219978004,conditional association in the fixed broad-review panel; concept-cluster uncertainty
ensemble::median,ensemble,Nine-judge median,9,median of the nine judge-family values for each visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.19701785971438043,0.15446097339659265,0.15173713677235975,0.8021535580524345,0.9975229199604981,0.15686555194748614,0.16646892841671257,4.157303370786517,4.071348314606741,0.10081241800663004,0.30068933706566153,0.050793667815656134,5000,0.00029997000299970003,0.0026997300269973002,conditional association in the fixed broad-review panel; concept-cluster uncertainty
