reference_method_id,reference_method_label,comparator_method_id,comparator_method_label,beta_difference_mean_minus_comparator,paired_cluster_bootstrap_ci_low,paired_cluster_bootstrap_ci_high,paired_cluster_bootstrap_se,paired_cluster_bootstrap_valid_draws,ci_crosses_zero,direction_at_point,inference_role
ensemble::mean,Nine-judge mean,single::anthropic,Claude Sonnet 4.6,0.10885854261198116,0.043210675187041726,0.18650750645616182,0.0366414106879472,5000,False,mean_higher,exploratory paired comparison; same domain-stratified concept-cluster draws used for both beta estimates
ensemble::mean,Nine-judge mean,single::deepseek,DeepSeek-V4 Expert Mode,0.053392360837918956,-0.01967397167008882,0.12283549644239977,0.03556409793485314,5000,True,mean_higher,exploratory paired comparison; same domain-stratified concept-cluster draws used for both beta estimates
ensemble::mean,Nine-judge mean,single::doubao,Doubao 2.0 Pro,0.06936786717965807,0.003798425275840504,0.13016391179014117,0.0322030151286617,5000,False,mean_higher,exploratory paired comparison; same domain-stratified concept-cluster draws used for both beta estimates
ensemble::mean,Nine-judge mean,single::gemini,Gemini 3.1 Pro,0.01852888558950766,-0.04814875461513376,0.09282897428132918,0.03601398643461784,5000,True,mean_higher,exploratory paired comparison; same domain-stratified concept-cluster draws used for both beta estimates
ensemble::mean,Nine-judge mean,single::glm,GLM-5.1,0.1331291671633386,0.06962002175543994,0.20053431783140419,0.03435079733292455,5000,False,mean_higher,exploratory paired comparison; same domain-stratified concept-cluster draws used for both beta estimates
ensemble::mean,Nine-judge mean,single::kimi,Kimi K2.6 Thinking,0.11134026259621684,0.024965283771050076,0.19755209405301682,0.043700721659740864,5000,False,mean_higher,exploratory paired comparison; same domain-stratified concept-cluster draws used for both beta estimates
ensemble::mean,Nine-judge mean,single::mimo,Mimo v2.5 Pro,0.12843072157727103,0.04980252129652184,0.2066360795884332,0.04029408776665577,5000,False,mean_higher,exploratory paired comparison; same domain-stratified concept-cluster draws used for both beta estimates
ensemble::mean,Nine-judge mean,single::openai,GPT-5.5 Thinking,0.04108570442359755,-0.02046935705639801,0.09814855095562175,0.030577964618387982,5000,True,mean_higher,exploratory paired comparison; same domain-stratified concept-cluster draws used for both beta estimates
ensemble::mean,Nine-judge mean,single::qwen,Qwen3.5 Thinking,0.0918298174818083,0.02457702138271403,0.1691600049823686,0.03692459796161494,5000,False,mean_higher,exploratory paired comparison; same domain-stratified concept-cluster draws used for both beta estimates
ensemble::mean,Nine-judge mean,ensemble::median,Nine-judge median,0.03454599343196757,-0.003049988711932161,0.06434946713483508,0.017218171218668123,5000,True,mean_higher,exploratory paired comparison; same domain-stratified concept-cluster draws used for both beta estimates
ensemble::mean,Nine-judge mean,ensemble::trimmed_one_each_tail,Nine-judge trimmed mean,-0.0018275432547651682,-0.015552071584569742,0.009685663855525172,0.006415944573632718,5000,True,mean_lower,exploratory paired comparison; same domain-stratified concept-cluster draws used for both beta estimates
ensemble::mean,Nine-judge mean,ensemble::no_self_mean,No-self mean,0.021233428251640596,0.0050825678633741635,0.03829380165913571,0.00848061423886738,5000,False,mean_higher,exploratory paired comparison; same domain-stratified concept-cluster draws used for both beta estimates
