method_id,dimension,n_rows,api_mean_quality_aligned,api_sample_sd,human_mean_quality_aligned,human_sample_sd
ensemble::mean,cc,178,2.8619225967540576,0.49127957287276497,4.064606741573034,0.5368195862698025
ensemble::mean,fa,178,4.089031567683254,0.548462328127479,4.470505617977528,0.4650657841468014
ensemble::mean,lc,178,4.4719279472088465,0.41196654928734366,4.172752808988764,0.4716562422652447
ensemble::mean,mq,178,3.8210807918673084,0.661574988760182,3.773876404494382,0.7603746670920599
ensemble::mean,risk,178,4.134991974317817,0.481845973119334,4.257022471910112,0.552619452588457
ensemble::mean,tf,178,4.186713037274835,0.6239595000657869,4.205056179775281,0.48793609750056455
ensemble::median,cc,178,2.8764044943820224,0.5365768192137446,4.064606741573034,0.5368195862698025
ensemble::median,fa,178,4.18298555377207,0.7065729726207773,4.470505617977528,0.4650657841468014
ensemble::median,lc,178,4.706741573033708,0.5125096670570127,4.172752808988764,0.4716562422652447
ensemble::median,mq,178,3.964686998394864,0.8742655889469686,3.773876404494382,0.7603746670920599
ensemble::median,risk,178,4.307383627608347,0.6793646435934358,4.257022471910112,0.552619452588457
ensemble::median,tf,178,4.389887640449438,0.7858271318103723,4.205056179775281,0.48793609750056455
ensemble::no_self_mean,cc,178,2.8615971107544143,0.5015101088537577,4.064606741573034,0.5368195862698025
ensemble::no_self_mean,fa,178,4.081601123595505,0.555959590246837,4.470505617977528,0.4650657841468014
ensemble::no_self_mean,lc,178,4.467576243980739,0.426675158065854,4.172752808988764,0.4716562422652447
ensemble::no_self_mean,mq,178,3.828511235955056,0.6872514670548804,3.773876404494382,0.7603746670920599
ensemble::no_self_mean,risk,178,4.136516853932584,0.4866734798461147,4.257022471910112,0.552619452588457
ensemble::no_self_mean,tf,178,4.189747191011236,0.6428690266640962,4.205056179775281,0.48793609750056455
ensemble::trimmed_one_each_tail,cc,178,2.8607200183444164,0.4931091368002049,4.064606741573034,0.5368195862698025
ensemble::trimmed_one_each_tail,fa,178,4.1421004356798905,0.5824955626304098,4.470505617977528,0.4650657841468014
ensemble::trimmed_one_each_tail,lc,178,4.59633111671635,0.41836778899170723,4.172752808988764,0.4716562422652447
ensemble::trimmed_one_each_tail,mq,178,3.8980738362760836,0.7214641422318899,3.773876404494382,0.7603746670920599
ensemble::trimmed_one_each_tail,risk,178,4.212290759000229,0.5327332554239759,4.257022471910112,0.552619452588457
ensemble::trimmed_one_each_tail,tf,178,4.294496675074524,0.6701900814455841,4.205056179775281,0.48793609750056455
single::anthropic,cc,178,1.9502407704654894,0.7153667762945687,4.064606741573034,0.5368195862698025
single::anthropic,fa,178,3.3441412520064207,0.8268570403641496,4.470505617977528,0.4650657841468014
