item_id,source_item_id,version,material_no,question_code,concept_key,visible_text_sha256,mapped_item_id,instrument_file,crosswalk_row_key
rb18_00007c0f6079,reader_B_01,B,1,Q13,projectile_motion,00007c0f6079d4def1f0f554da96ad375327ad6dbebde59310c36bb361266d0a,千问_C_C04,public_form_B_instrument.txt,public_reader_ABC|public_reader_B|B|1
rb18_06a41a675601,reader_B_02,B,2,Q14,evolution_no_goal,06a41a6756015352844d09343bec7398a7a4e630bfc5afae549dc9af984af3dc,DEEPSEEK_B_C14,public_form_B_instrument.txt,public_reader_ABC|public_reader_B|B|2
rb18_0750c04a6022,reader_C_01,C,1,Q13,projectile_motion,0750c04a60221d3678629f17bdb60316cbdda5643706a794f50ca55a81d8e0b5,千问_C_C04,public_form_C_instrument.txt,public_reader_ABC|public_reader_C|C|1
rb18_129767c542cc,reader_A_01,A,1,Q13,projectile_motion,129767c542cc331f8964f791ac9786011e914888935ed61fe378d724123902fb,千问_C_C04,public_form_A_instrument.txt,public_reader_ABC|public_reader_A|A|1
rb18_13c2377f8265,reader_B_05,B,5,Q17,adaptation,13c2377f8265a12ebc6d75efde2cab38e9c9ef8018a54ef26e95f7561750769b,GLM_A_C14,public_form_B_instrument.txt,public_reader_ABC|public_reader_B|B|5
rb18_185f4218daf7,reader_A_05,A,5,Q17,adaptation,185f4218daf7d457e8505e8d7c8c58de0a93df6d333be7c1428c8d5f452aae1d,GLM_A_C14,public_form_A_instrument.txt,public_reader_ABC|public_reader_A|A|5
rb18_32041e3f1e26,reader_C_06,C,6,Q18,net_force_vs_velocity,32041e3f1e26e235648940f68b4bf9504ef6d9e2cd4da4eb5fb9768a02ee2a8e,DEEPSEEK_B_C02,public_form_C_instrument.txt,public_reader_ABC|public_reader_C|C|6
rb18_45570a054b7e,reader_B_03,B,3,Q15,geological_time,45570a054b7e21616343a19ec1ebaa0f577b3a2d6ba68288e6dffe967ae5b305,DEEPSEEK_B_C20,public_form_B_instrument.txt,public_reader_ABC|public_reader_B|B|3
rb18_479be42075e3,reader_C_02,C,2,Q14,evolution_no_goal,479be42075e3821668e0731653e5211b34c78db32b5486711ec20df04afef4e4,DEEPSEEK_B_C14,public_form_C_instrument.txt,public_reader_ABC|public_reader_C|C|2
rb18_5926132b8302,reader_A_06,A,6,Q18,net_force_vs_velocity,5926132b8302652daa79bd1458c7b679394b1eefda86a2b9867f245f2448a860,DEEPSEEK_B_C02,public_form_A_instrument.txt,public_reader_ABC|public_reader_A|A|6
rb18_6c7eaacd12e1,reader_C_03,C,3,Q15,geological_time,6c7eaacd12e1b214645fb23be433998d4a6fcf387cc61ebbd85ca43c1b835bbc,DEEPSEEK_B_C20,public_form_C_instrument.txt,public_reader_ABC|public_reader_C|C|3
rb18_7d107c521a36,reader_B_04,B,4,Q16,plant_respiration,7d107c521a368d49dee979673b8a5f527c057f5d989a9d99eaa5e569579532c7,Gemini_B_C18,public_form_B_instrument.txt,public_reader_ABC|public_reader_B|B|4
rb18_931de414d2e0,reader_C_05,C,5,Q17,adaptation,931de414d2e0b2b70b49ebd634c052be8ab2715a134bb24f64ac30ce8314f5e7,GLM_A_C14,public_form_C_instrument.txt,public_reader_ABC|public_reader_C|C|5
rb18_93ef670f33a0,reader_B_06,B,6,Q18,net_force_vs_velocity,93ef670f33a046f8c9653354a6eae80fe54cf8807d8d8c4aae2107c63fdc0d13,DEEPSEEK_B_C02,public_form_B_instrument.txt,public_reader_ABC|public_reader_B|B|6
rb18_a91dc810f662,reader_A_02,A,2,Q14,evolution_no_goal,a91dc810f66283998586f55616d913a8f5c33184e1043a8452f0e63b518c5587,DEEPSEEK_B_C14,public_form_A_instrument.txt,public_reader_ABC|public_reader_A|A|2
rb18_bbbb5f43784f,reader_A_03,A,3,Q15,geological_time,bbbb5f43784f809c198b104ab9205311fb588b4df34fbc7cc1dbc87c9c90af1a,DEEPSEEK_B_C20,public_form_A_instrument.txt,public_reader_ABC|public_reader_A|A|3
rb18_debd484e21cb,reader_C_04,C,4,Q16,plant_respiration,debd484e21cbc69e4e5252a8fd6ae9c9813c48c2bb10c0db71e6b7d089244b86,Gemini_B_C18,public_form_C_instrument.txt,public_reader_ABC|public_reader_C|C|4
rb18_df546a2e1915,reader_A_04,A,4,Q16,plant_respiration,df546a2e19151618ad7a16d147bfbfe0137eaba193fa99efc5b0835f087e15fc,Gemini_B_C18,public_form_A_instrument.txt,public_reader_ABC|public_reader_A|A|4
