family,status,aggregation,predictor,outcome,n_text_cells,n_concept_blocks,concepts,centered_pearson_r,centered_spearman_r,within_concept_slope,hierarchical_bootstrap_r_ci_low,hierarchical_bootstrap_r_ci_high,hierarchical_bootstrap_slope_ci_low,hierarchical_bootstrap_slope_ci_high,hierarchical_bootstrap_valid_draws,exact_block_permutation_p_two_sided,exact_permutation_space,pairwise_concordance_fraction_ties_half,pairwise_concordant,pairwise_discordant,pairwise_tied,p_holm_within_family
primary_all_6_concepts,primary,mean,api_quality_mean,accuracy_change,18,6,adaptation|evolution_no_goal|geological_time|net_force_vs_velocity|plant_respiration|projectile_motion,0.6702934835847044,0.515229805367507,0.10940186961588931,-0.13941611652097288,0.890136160505552,-0.02723385623019926,0.21838657116740334,10000,0.0276920438957476,46656,0.7777777777777778,14,4,0,0.0553840877914952
primary_all_6_concepts,primary,mean,api_risk_mean,accuracy_change,18,6,adaptation|evolution_no_goal|geological_time|net_force_vs_velocity|plant_respiration|projectile_motion,-0.580351493285052,-0.4537473153627643,-0.0891632063549377,-0.8302854177841444,0.1976745980583147,-0.25880037716294807,0.05152813828844607,10000,0.05521262002743484,46656,0.19444444444444445,3,14,1,0.0553840877914952
fixed_sensitivity_excluding_nonparallel_adaptation,fixed_sensitivity,mean,api_quality_mean,accuracy_change,15,5,evolution_no_goal|geological_time|net_force_vs_velocity|plant_respiration|projectile_motion,0.7022202636255719,0.5755140814616476,0.1234638468133753,-0.08476518081630868,0.9161636840838205,-0.01774912687579753,0.23818579419124786,10000,0.041923868312757205,7776,0.8,12,3,0,
fixed_sensitivity_excluding_nonparallel_adaptation,fixed_sensitivity,mean,api_risk_mean,accuracy_change,15,5,evolution_no_goal|geological_time|net_force_vs_velocity|plant_respiration|projectile_motion,-0.5753123757841544,-0.4834395233762405,-0.09177991886409735,-0.8560966133094557,0.20825705944153922,-0.31482006393560524,0.0564332272122316,10000,0.09465020576131687,7776,0.23333333333333334,3,11,1,
aggregation_sensitivity,sensitivity,median,api_quality_median,accuracy_change,18,6,adaptation|evolution_no_goal|geological_time|net_force_vs_velocity|plant_respiration|projectile_motion,0.7179799104000996,0.651784407191962,0.10933908045977017,-0.09770493947234654,0.9013549963158927,-0.019948024522758213,0.2010726761339558,10000,0.013717421124828532,46656,0.8055555555555556,12,1,5,
aggregation_sensitivity,sensitivity,median,api_risk_median,accuracy_change,18,6,adaptation|evolution_no_goal|geological_time|net_force_vs_velocity|plant_respiration|projectile_motion,-0.6426705644686683,-0.6070406858644031,-0.05730706075533662,-0.840110554348969,0.0008070435383157443,-0.1431963793343142,5.936150151327742e-05,9978,0.024691358024691357,46656,0.2777777777777778,0,8,10,
aggregation_sensitivity,sensitivity,20pct_trimmed_mean,api_quality_trimmed_mean,accuracy_change,18,6,adaptation|evolution_no_goal|geological_time|net_force_vs_velocity|plant_respiration|projectile_motion,0.6742315376232288,0.5190918472652218,0.10734200743494428,-0.15531463554301095,0.896107259434413,-0.029945085202929125,0.21547107347974206,10000,0.026320301783264746,46656,0.7777777777777778,14,4,0,
aggregation_sensitivity,sensitivity,20pct_trimmed_mean,api_risk_trimmed_mean,accuracy_change,18,6,adaptation|evolution_no_goal|geological_time|net_force_vs_velocity|plant_respiration|projectile_motion,-0.5522682900264401,-0.47698038513288477,-0.0732573229514275,-0.7996324311398963,0.1602742890825043,-0.2505921934676257,0.040694675055039986,10000,0.07493141289437585,46656,0.2222222222222222,3,13,2,
secondary_all_6_concepts,secondary,mean,api_quality_mean,post_accuracy,18,6,adaptation|evolution_no_goal|geological_time|net_force_vs_velocity|plant_respiration|projectile_motion,0.0896050330690315,0.13835830444738664,0.009184060179789549,-0.5094601347993932,0.7360324012465124,-0.0695682434260903,0.09693750299510044,10000,0.7671039094650206,46656,0.5,9,9,0,1.0
secondary_all_6_concepts,secondary,mean,api_risk_mean,post_accuracy,18,6,adaptation|evolution_no_goal|geological_time|net_force_vs_velocity|plant_respiration|projectile_motion,0.14820289093897004,0.24186075579700875,0.014298609857374973,-0.5395398215235508,0.624828513310692,-0.07306423121202474,0.11850940035162426,10000,0.476937585733882,46656,0.5833333333333334,10,7,1,1.0
secondary_all_6_concepts,secondary,mean,api_quality_mean,reader_confidence_mean,18,6,adaptation|evolution_no_goal|geological_time|net_force_vs_velocity|plant_respiration|projectile_motion,-0.04024488405302374,0.25619834710743805,-0.009822818441878305,-0.7267877042891934,0.7553838438026215,-0.3520744126173661,0.293745465401644,10000,0.8968621399176955,46656,0.5833333333333334,10,7,1,1.0
secondary_all_6_concepts,secondary,mean,api_risk_mean,reader_perceived_risk_mean,18,6,adaptation|evolution_no_goal|geological_time|net_force_vs_velocity|plant_respiration|projectile_motion,-0.49389512746012226,-0.36471810364196544,-0.25060480231088633,-0.8896093633962762,0.4029022239430631,-0.8439106600173838,0.25546894874751686,10000,0.1507201646090535,46656,0.3611111111111111,5,10,3,0.602880658436214
