item_id,source_stimulus_id,source_item_uid,api_item_id,replicate_index,runner_order,domain,concept_id,task_type,generator,text_sha256,content_json_sha256
ri_0130bfc7e0637736636e,RST029,GPT_B_C10,API810_670,3,1,Chemistry,C10,B,OpenAI GPT,1027f183d78976026e49c8eb074a0d14e7ef1ebf3c543de46c07a260f7f41d75,1dde2fa826a25373c6ea686a87dd1499d030af760916f7ffd0784c67371dbcdd
ri_8fd81c8f1be1896a3616,RST069,GPT_C_C23,API810_713,2,2,Geoscience,C23,C,OpenAI GPT,b948e2c1119509465257752710519c173595cd0a8a2ffee4b58f8eed8e9b8318,ca5580c3622d0454671e74284d86e7a889ba576ccccb21d6ee6b3d35de76c45f
ri_2d789c88d9dea3c649bf,RST070,Gemini_A_C24,API810_384,2,3,Geoscience,C24,A,Google Gemini,8ccdeb0292b43afc7ca80e32aca4c58cc2c3f629bd49e92466fb2119f2dfc6b5,d0bcc16e9d0815219d3b6f7c05b841e88bd03c5d1b4c2ec672630833b6e6c87a
ri_fd5657a869934b782618,RST052,DEEPSEEK_A_C18,API810_288,3,4,Biology,C18,A,DeepSeek,01c30716c720981a73f6979f26f363c5cd39a9782cc9e1294c13b35f1529a5d2,e547c9faedcff8f17dd3fda7ead01cfa2d72e7a9102208bc89ca9b518a7e39e2
ri_6698b5e6cd68e271555b,RST046,KIMI_A_C16,API810_556,1,5,Biology,C16,A,Moonshot Kimi,c6c0c70b8a2777d5fee336f141449fbe0f28fc4cf1b37a32bc9a2cf1b6c0f94a,252d7876cce1b52c39a5a46a4ef22263c06c24aefa7b476c44e144aff4d1f34c
ri_88da2f9cd1d57975dbab,RST011,豆包_B_C04,API810_214,1,6,Physics,C04,B,ByteDance Doubao,03f6f8557c71c01b5f7aebb33e51ce0bfb9b38d881f3391a43247bbf9e2782ff,b4b4d5db5f42c060fae343f4d06a7f407c8abb2a2324e388862d45512dd5131c
ri_27cb7ab379819cfef9ca,RST062,DEEPSEEK_B_C21,API810_321,1,7,Geoscience,C21,B,DeepSeek,1b087407f952d2e2d6527f4db5ef6b80274e666f99bfd12ec4b41976018fff0b,738fae3474500a9943d5279437108e916777ba991f80cff40508fbead9a6d5ab
ri_94d3d91c39ba383c8340,RST015,DEEPSEEK_C_C05,API810_335,3,8,Physics,C05,C,DeepSeek,9044fac57bd0abef87bebc420917210df3098681d600260b7a0e9561914dbfb6,febebf947f2516c1ed8c4f7ca29743afc549e8a98b46ebd5e94a749bbc829968
ri_d1d541b96991a226d152,RST041,Gemini_B_C14,API810_404,3,9,Biology,C14,B,Google Gemini,0d92876dc103d9911eb32a474953ee10c41bf854346ec7c34ec27c03b3268be9,c7208fc39cd4709cfcf7e799208a85bef06bdadbaa5bcf3f286b6aae41e8d5b0
ri_96faa9d065a2ddced8b9,RST021,DEEPSEEK_C_C07,API810_337,3,10,Chemistry,C07,C,DeepSeek,3be892392b50203fd556268ea2954439843c1a2b1edb06402ffa5434fbba3318,c99edd79e9e559d234384406a6871bc52a0a7c0d79935c3e217809cc0f0cec01
ri_4af4bc1a7937f4ee4350,RST041,Gemini_B_C14,API810_404,1,11,Biology,C14,B,Google Gemini,0d92876dc103d9911eb32a474953ee10c41bf854346ec7c34ec27c03b3268be9,c7208fc39cd4709cfcf7e799208a85bef06bdadbaa5bcf3f286b6aae41e8d5b0
ri_bdd239eb95fa893aea08,RST036,千问_C_C12,API810_072,1,12,Chemistry,C12,C,Alibaba Qwen,43606521bdb443204ee497b6ce32447cbc69eb55fc5639f474baaa0a1b7e65a0,fca8ce5af4ebe7bfafbe9d2f406c5afb6c1d8a98b807185f56ca5539bf60586d
ri_0dcd5f70f546e4fac128,RST032,豆包_B_C11,API810_221,2,13,Chemistry,C11,B,ByteDance Doubao,64352c65e6102db63fae1e8410d43b72990b3d419379a78a0360b6df644369a9,13b1fa5592eeddc369073dd3d541c31e5c6a0b543e5d095fc63039798a058de2
