judge_provider,item_id,source_stimulus_id,source_item_uid,api_item_id,replicate_index,runner_order,domain,concept_id,concept,task_type,generator,text_sha256,call_status,paper_model_label,judge_model_requested,actual_api_model,judge_model_returned,judge_model,fa,cc,lc,tf,mq,risk,retry_count,http_status,usage_prompt_tokens,usage_completion_tokens,system_fingerprint_or_backend_id
anthropic,ri_0130bfc7e0637736636e,RST029,GPT_B_C10,API810_670,3,1,Chemistry,C10,化学反应与物理变化,B,OpenAI GPT,1027f183d78976026e49c8eb074a0d14e7ef1ebf3c543de46c07a260f7f41d75,valid,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,3.0,2.0,3.0,3.0,3.0,3.0,0,200,1237,137,
anthropic,ri_8fd81c8f1be1896a3616,RST069,GPT_C_C23,API810_713,2,2,Geoscience,C23,火山与板块边界,C,OpenAI GPT,b948e2c1119509465257752710519c173595cd0a8a2ffee4b58f8eed8e9b8318,valid,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,3.0,2.0,3.0,4.0,3.0,3.0,0,200,1261,139,
anthropic,ri_2d789c88d9dea3c649bf,RST070,Gemini_A_C24,API810_384,2,3,Geoscience,C24,地球内部结构,A,Google Gemini,8ccdeb0292b43afc7ca80e32aca4c58cc2c3f629bd49e92466fb2119f2dfc6b5,valid,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,3.0,1.0,4.0,1.0,1.0,4.0,0,200,1263,674,
anthropic,ri_fd5657a869934b782618,RST052,DEEPSEEK_A_C18,API810_288,3,4,Biology,C18,光合作用与细胞呼吸,A,DeepSeek,01c30716c720981a73f6979f26f363c5cd39a9782cc9e1294c13b35f1529a5d2,valid,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,3.0,2.0,3.0,2.0,2.0,4.0,0,200,1252,135,
anthropic,ri_6698b5e6cd68e271555b,RST046,KIMI_A_C16,API810_556,1,5,Biology,C16,遗传信息与性状,A,Moonshot Kimi,c6c0c70b8a2777d5fee336f141449fbe0f28fc4cf1b37a32bc9a2cf1b6c0f94a,valid,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,4.0,2.0,3.0,3.0,3.0,3.0,0,200,1220,138,
anthropic,ri_88da2f9cd1d57975dbab,RST011,豆包_B_C04,API810_214,1,6,Physics,C04,抛体运动,B,ByteDance Doubao,03f6f8557c71c01b5f7aebb33e51ce0bfb9b38d881f3391a43247bbf9e2782ff,valid,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,3.0,2.0,3.0,2.0,2.0,3.0,0,200,1239,138,
anthropic,ri_27cb7ab379819cfef9ca,RST062,DEEPSEEK_B_C21,API810_321,1,7,Geoscience,C21,岩石循环,B,DeepSeek,1b087407f952d2e2d6527f4db5ef6b80274e666f99bfd12ec4b41976018fff0b,valid,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,2.0,1.0,2.0,2.0,2.0,4.0,0,200,1243,136,
anthropic,ri_94d3d91c39ba383c8340,RST015,DEEPSEEK_C_C05,API810_335,3,8,Physics,C05,圆周运动,C,DeepSeek,9044fac57bd0abef87bebc420917210df3098681d600260b7a0e9561914dbfb6,valid,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,3.0,2.0,3.0,4.0,3.0,3.0,0,200,1268,138,
anthropic,ri_d1d541b96991a226d152,RST041,Gemini_B_C14,API810_404,3,9,Biology,C14,进化没有预设目标,B,Google Gemini,0d92876dc103d9911eb32a474953ee10c41bf854346ec7c34ec27c03b3268be9,valid,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,3.0,2.0,4.0,3.0,3.0,3.0,0,200,1263,137,
anthropic,ri_96faa9d065a2ddced8b9,RST021,DEEPSEEK_C_C07,API810_337,3,10,Chemistry,C07,质量守恒,C,DeepSeek,3be892392b50203fd556268ea2954439843c1a2b1edb06402ffa5434fbba3318,valid,Claude Sonnet 4.6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,claude-sonnet-4-6,3.0,2.0,3.0,3.0,3.0,3.0,0,200,1268,139,
