aggregation,dimension,n_complete_stimuli,all_three_exact_agreement,mean_within_item_sd,median_within_item_sd,mean_within_item_mad_from_item_mean,mean_pairwise_exact_agreement,mean_pairwise_within_one_category,mean_absolute_pairwise_difference,mean_pairwise_rmse,mean_pairwise_spearman,min_pairwise_spearman,mean_pairwise_lin_ccc,min_pairwise_lin_ccc,mean_pairwise_quadratic_weighted_kappa,icc_a1_absolute_single_measure,icc_stimulus_bootstrap_ci_low,icc_stimulus_bootstrap_ci_high,icc_stimulus_bootstrap_valid_draws,icc_concept_cluster_bootstrap_ci_low,icc_concept_cluster_bootstrap_ci_high,icc_concept_cluster_bootstrap_valid_draws,status,expected_judges_per_stimulus_replicate
mean,fa,90,0.06666666666666667,0.13695858330055505,0.1197055854655139,0.1012345679012346,0.22222222222222224,1.0,0.1703703703703704,0.2280460474227888,0.911437344558785,0.899620584768366,0.9276213565532161,0.9250170191479524,,0.9283358074727975,0.8967428641032114,0.949527641121803,2000,0.8933188005590716,0.9514205505195502,2000,complete_fixed_panel,9
median,fa,90,0.7,0.17320508075688776,0.0,0.13333333333333333,0.8000000000000002,1.0,0.20000000000000004,0.4467517125489245,0.8113264699837996,0.7923007440634836,0.8272654760184581,0.8073668539138785,,0.8288583434228332,0.7501573679271686,0.8866279496948762,2000,0.7606550319930617,0.8852324897140251,2000,complete_fixed_panel,9
trimmed_one_each_tail,fa,90,0.1111111111111111,0.13318187257269887,0.1428571428571428,0.09841269841269838,0.3,1.0,0.16402116402116398,0.2226576640725398,0.9228639619149771,0.9115610509967284,0.9378179606962928,0.9288550307320547,,0.9383993638184357,0.9098585789216727,0.9564622895898761,2000,0.9057248539947991,0.95650438458177,2000,complete_fixed_panel,9
no_self_mean,fa,90,0.07777777777777778,0.14329712573505632,0.125,0.104320987654321,0.2222222222222222,1.0,0.1796296296296296,0.2419252869956848,0.9037099520529376,0.8913245153196931,0.9194686306286174,0.9161037771911346,,0.9202582390730025,0.8801117073639605,0.9448978407082823,2000,0.8803612404776824,0.9436838367630797,2000,complete_fixed_panel,8
mean,cc,90,0.06666666666666667,0.1267868011734717,0.11111111111111116,0.09272976680384089,0.2222222222222222,1.0,0.1588477366255144,0.2065206057257993,0.932976582851854,0.9165257439152491,0.929426152590784,0.9151044043114193,,0.9302709411861007,0.9020850920675174,0.9493572037326122,2000,0.9117665001936154,0.9446633086081877,2000,complete_fixed_panel,9
median,cc,90,0.7333333333333333,0.15396007178390023,0.0,0.11851851851851852,0.8222222222222223,1.0,0.17777777777777778,0.42121076874455365,0.7778406926260434,0.7494717623509729,0.7702724704883788,0.7452561239799536,,0.772427018964415,0.6718773760191518,0.8496940613409458,2000,0.6894778021397914,0.8402933073309489,2000,complete_fixed_panel,9
trimmed_one_each_tail,cc,90,0.13333333333333333,0.12351981559934985,0.1428571428571428,0.08888888888888893,0.28148148148148144,1.0,0.15555555555555556,0.20553350341154544,0.9321573775598321,0.9241693088164753,0.9313996089627744,0.923232219840813,,0.9321520751881337,0.9044226981131023,0.9511598626128701,2000,0.9122300228582672,0.9490640365546175,2000,complete_fixed_panel,9
no_self_mean,cc,90,0.06666666666666667,0.14150704603845293,0.125,0.10339506172839505,0.21481481481481482,1.0,0.17777777777777778,0.22820060013686447,0.9128262300843778,0.8972740186209536,0.9163235693318255,0.9050558475679601,,0.9171097267624746,0.8845795002545385,0.9391931543997564,2000,0.8921161304940698,0.9350352279984085,2000,complete_fixed_panel,8
mean,lc,90,0.1,0.12223433266284171,0.11111111111111116,0.09108367626886146,0.2851851851851852,1.0,0.14979423868312758,0.21068739957647398,0.8560474727919676,0.8432200284392579,0.8840565219302929,0.8679630795722323,,0.8850293905440962,0.829276108969711,0.9227241676388064,2000,0.8403988397121297,0.9126398448684865,2000,complete_fixed_panel,9
median,lc,90,0.8,0.11547005383792516,0.0,0.08888888888888889,0.8666666666666667,1.0,0.13333333333333333,0.36429567462558393,0.7753093746942605,0.7356659905341447,0.7590894014436703,0.7231985940246036,,0.7608241266049569,0.642308976543748,0.8480546327216206,2000,0.6646097317305117,0.8325572500541031,2000,complete_fixed_panel,9
