aggregation,dimension,replicate_pair,n_stimuli,exact_agreement,within_one_category,mean_absolute_difference,rmse,spearman_rho,lin_ccc,quadratic_weighted_kappa
mean,fa,1-2,90,0.23333333333333334,1.0,0.17037037037037042,0.23129622216290366,0.913580239814048,0.9256937586899285,
mean,fa,1-3,90,0.23333333333333334,1.0,0.1703703703703704,0.23247933076259583,0.899620584768366,0.9250170191479524,
mean,fa,2-3,90,0.2,1.0,0.1703703703703704,0.22036258934286695,0.9211112090939412,0.9321532918217673,
median,fa,1-2,90,0.7777777777777778,1.0,0.2222222222222222,0.4714045207910317,0.7923007440634836,0.8073668539138785,
median,fa,1-3,90,0.8222222222222222,1.0,0.17777777777777778,0.4216370213557839,0.8291895956460034,0.8458944344293869,
median,fa,2-3,90,0.8,1.0,0.2,0.4472135954999579,0.812489070241912,0.8285351397121088,
trimmed_one_each_tail,fa,1-2,90,0.28888888888888886,1.0,0.16190476190476186,0.21925456063278734,0.9275272498748834,0.9404030861281687,
trimmed_one_each_tail,fa,1-3,90,0.3111111111111111,1.0,0.17301587301587296,0.23951954933255787,0.9115610509967284,0.9288550307320547,
trimmed_one_each_tail,fa,2-3,90,0.3,1.0,0.15714285714285708,0.2091988822522742,0.9295035848733196,0.9441957652286548,
no_self_mean,fa,1-2,90,0.23333333333333334,1.0,0.175,0.233482095435365,0.9135099006349287,0.9247172659661577,
no_self_mean,fa,1-3,90,0.24444444444444444,1.0,0.1763888888888889,0.24755751295854914,0.8913245153196931,0.9161037771911346,
no_self_mean,fa,2-3,90,0.18888888888888888,1.0,0.1875,0.24473625259314022,0.9062954402041908,0.9175848487285598,
mean,cc,1-2,90,0.2,1.0,0.14567901234567898,0.18666078767932073,0.9527023114235027,0.9427508803591228,
mean,cc,1-3,90,0.24444444444444444,1.0,0.15925925925925924,0.20852871496680364,0.9297016932168106,0.9304231731018099,
mean,cc,2-3,90,0.2222222222222222,1.0,0.17160493827160492,0.22437231453127346,0.9165257439152491,0.9151044043114193,
median,cc,1-2,90,0.8111111111111111,1.0,0.18888888888888888,0.4346134936801766,0.7494717623509729,0.7452561239799536,
median,cc,1-3,90,0.8111111111111111,1.0,0.18888888888888888,0.4346134936801766,0.7775698444036295,0.7725258078531206,
median,cc,2-3,90,0.8444444444444444,1.0,0.15555555555555556,0.39440531887330776,0.8064804711235274,0.7930354796320621,
trimmed_one_each_tail,cc,1-2,90,0.24444444444444444,1.0,0.1507936507936508,0.19342948582466576,0.945699961338795,0.9394189069685537,
trimmed_one_each_tail,cc,1-3,90,0.3333333333333333,1.0,0.1523809523809524,0.20756661635907972,0.9266028625242259,0.9315477000789567,
trimmed_one_each_tail,cc,2-3,90,0.26666666666666666,1.0,0.1634920634920635,0.21560440805089087,0.9241693088164753,0.923232219840813,
no_self_mean,cc,1-2,90,0.18888888888888888,1.0,0.15833333333333333,0.20155644370746376,0.9407852371425933,0.9345111228068862,
no_self_mean,cc,1-3,90,0.24444444444444444,1.0,0.18472222222222223,0.2411632688081297,0.9004194344895866,0.9094037376206299,
no_self_mean,cc,2-3,90,0.2111111111111111,1.0,0.19027777777777777,0.24188208789499988,0.8972740186209536,0.9050558475679601,
mean,lc,1-2,90,0.2777777777777778,1.0,0.14197530864197533,0.1991063711957869,0.8531864113079729,0.8962340755531134,
mean,lc,1-3,90,0.3111111111111111,1.0,0.145679012345679,0.2055472137112831,0.8717359786286718,0.8879724106655331,
mean,lc,2-3,90,0.26666666666666666,1.0,0.16172839506172842,0.22740861382235195,0.8432200284392579,0.8679630795722323,
median,lc,1-2,90,0.8888888888888888,1.0,0.1111111111111111,0.3333333333333333,0.8201966320586925,0.7973052783311138,
median,lc,1-3,90,0.8444444444444444,1.0,0.15555555555555556,0.39440531887330776,0.7356659905341447,0.7231985940246036,
median,lc,2-3,90,0.8666666666666667,1.0,0.13333333333333333,0.3651483716701107,0.7700655014899447,0.7567643319752939,
trimmed_one_each_tail,lc,1-2,90,0.32222222222222224,1.0,0.15238095238095242,0.2086562123829204,0.827597621828142,0.8982782166763783,
trimmed_one_each_tail,lc,1-3,90,0.36666666666666664,1.0,0.1365079365079365,0.1940147503567939,0.8739346072532649,0.9106495085136717,
trimmed_one_each_tail,lc,2-3,90,0.35555555555555557,1.0,0.1523809523809524,0.22537446792760438,0.8582912468642582,0.8841075186179532,
no_self_mean,lc,1-2,90,0.32222222222222224,1.0,0.14305555555555555,0.20026024734496528,0.854658858138342,0.9016159585086426,
no_self_mean,lc,1-3,90,0.3333333333333333,1.0,0.15138888888888888,0.2177058412935522,0.8747376305225746,0.8835184394339886,
no_self_mean,lc,2-3,90,0.3333333333333333,1.0,0.16666666666666666,0.24008100484813225,0.8301936725604174,0.8604654203652227,
mean,tf,1-2,90,0.2,1.0,0.1691358024691358,0.22861184240016244,0.915612828367646,0.9442411995570007,
