source_stimulus_id,concept_id,domain,task_type,generator,replicate_index,dimension,n_judges_valid,fixed_9_complete,panel_mean,panel_median,panel_trimmed_one_each_tail,no_self_n_judges_valid,no_self_complete,panel_no_self_mean
RST001,C01,Physics,A,Mimo,1,fa,9,True,4.333333333333333,5.0,4.428571428571429,8,True,4.5
RST001,C01,Physics,A,Mimo,1,cc,9,True,3.0,3.0,3.142857142857143,8,True,3.25
RST001,C01,Physics,A,Mimo,1,lc,9,True,4.444444444444445,5.0,4.571428571428571,8,True,4.625
RST001,C01,Physics,A,Mimo,1,tf,9,True,4.111111111111111,4.0,4.285714285714286,8,True,4.25
RST001,C01,Physics,A,Mimo,1,mq,9,True,4.111111111111111,4.0,4.285714285714286,8,True,4.25
RST001,C01,Physics,A,Mimo,1,risk,9,True,1.6666666666666667,1.0,1.5714285714285714,8,True,1.5
RST001,C01,Physics,A,Mimo,2,fa,9,True,4.555555555555555,5.0,4.714285714285714,8,True,4.5
RST001,C01,Physics,A,Mimo,2,cc,9,True,2.7777777777777777,3.0,2.857142857142857,8,True,3.0
RST001,C01,Physics,A,Mimo,2,lc,9,True,4.666666666666667,5.0,4.857142857142857,8,True,4.625
RST001,C01,Physics,A,Mimo,2,tf,9,True,4.444444444444445,5.0,4.571428571428571,8,True,4.625
RST001,C01,Physics,A,Mimo,2,mq,9,True,3.888888888888889,4.0,4.142857142857143,8,True,4.25
RST001,C01,Physics,A,Mimo,2,risk,9,True,1.6666666666666667,1.0,1.5714285714285714,8,True,1.5
RST001,C01,Physics,A,Mimo,3,fa,9,True,4.333333333333333,5.0,4.428571428571429,8,True,4.5
RST001,C01,Physics,A,Mimo,3,cc,9,True,3.111111111111111,3.0,3.142857142857143,8,True,3.375
RST001,C01,Physics,A,Mimo,3,lc,9,True,4.222222222222222,5.0,4.571428571428571,8,True,4.375
RST001,C01,Physics,A,Mimo,3,tf,9,True,3.7777777777777777,3.0,3.857142857142857,8,True,3.875
