method_id,method_type,method_label,expected_judges_per_source_uid,definition,risk_direction,n_rows,n_stimuli,n_domain_concept_clusters,controls,standardized_beta,beta_on_primary_mean_frozen_scale,lin_ccc_quality_aligned_raw_scale,mae_quality_aligned_raw_scale,rmse_quality_aligned_raw_scale,spearman_rho_quality_aligned_raw_scale,pearson_r_quality_aligned_raw_scale,human_mean_quality_aligned,api_mean_quality_aligned,bootstrap_ci_low,bootstrap_ci_high,bootstrap_se,bootstrap_valid_draws,freedman_lane_p_two_sided,freedman_lane_p_holm_13,inference_scope
ensemble::mean,ensemble,Nine-judge mean,9,arithmetic mean of the nine judge-family values for each visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.231563853146348,0.231563853146348,0.1724789137614807,0.6964018191546282,0.8914207590147505,0.1778840044639723,0.1874005907286386,4.157303370786517,3.927611319184353,0.132891458502626,0.3348070260576986,0.0513348668571859,5000,0.0001999800019998,0.0021997800219978,conditional association in the fixed broad-review panel; concept-cluster uncertainty
ensemble::trimmed_one_each_tail,ensemble,Nine-judge trimmed mean,9,"drop one lowest and one highest judge-family value, then average the remaining seven",quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.2333913964011131,0.2210725811703467,0.1731251384240489,0.7188450661163341,0.9144012638407752,0.1764846179099965,0.1853425896011939,4.157303370786517,4.000668806848583,0.1348284976446348,0.3376111981474888,0.0515349031016505,5000,0.0001999800019998,0.0021997800219978,conditional association in the fixed broad-review panel; concept-cluster uncertainty
ensemble::median,ensemble,Nine-judge median,9,median of the nine judge-family values for each visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.1970178597143804,0.1544609733965926,0.1517371367723597,0.8021535580524345,0.997522919960498,0.1568655519474861,0.1664689284167125,4.157303370786517,4.071348314606741,0.10081241800663,0.3006893370656615,0.0507936678156561,5000,0.0002999700029997,0.0026997300269973,conditional association in the fixed broad-review panel; concept-cluster uncertainty
ensemble::no_self_mean,ensemble,No-self mean,8,"for each generated source UID exclude its same-family judge, then pool the eight retained values by visible text",quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.2103304248947074,0.204713358035533,0.1560970164770533,0.7083233012306045,0.90704046993841,0.1548154968815082,0.1699686140611797,4.157303370786517,3.927591626538255,0.1128956700570834,0.3119957515693392,0.0511706492164512,5000,0.0002999700029997,0.0026997300269973,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::gemini,single_judge,Gemini 3.1 Pro,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.2130349675568403,0.1841413223004064,0.1716487574117821,0.726123595505618,0.9162188214825928,0.1848136333023984,0.1973478342514528,4.157303370786517,4.487265917602996,0.1258963200884101,0.3032539157406168,0.0464133480138519,5000,9.999000099990002e-05,0.0012998700129987,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::openai,single_judge,GPT-5.5 Thinking,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.1904781487227504,0.1472107596347305,0.1334923826633981,0.7742108079186731,0.9721484523029336,0.1222641718879442,0.1435668966969165,4.157303370786517,4.074585339753879,0.0927194204715017,0.2895046616171874,0.0500359696729806,5000,9.999000099990002e-05,0.0012998700129987,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::deepseek,single_judge,DeepSeek-V4 Expert Mode,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.178171492308429,0.1240974079724848,0.1570333331691137,0.8536650615302301,1.0781309891279234,0.1789332018237742,0.1895493750967988,4.157303370786517,3.844301765650081,0.0807900443398721,0.2903210510886324,0.0544667726430055,5000,0.0033996600339966,0.0197980201979802,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::doubao,single_judge,Doubao 2.0 Pro,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.1621959859666899,0.1081063225526501,0.1189331525243697,0.9819957196361692,1.209474464263917,0.1344764920995594,0.1562101089434512,4.157303370786517,3.744328517924024,0.0849051367952678,0.2478180730454722,0.0411677174236557,5000,0.0003999600039996,0.0027997200279972,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::qwen,single_judge,Qwen3.5 Thinking,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.1397340356645397,0.0987274965121224,0.0987539828998741,0.8508159443552702,1.0805942890035998,0.1045433532140768,0.1117915713819862,4.157303370786517,4.262948100588551,0.0219771053413417,0.2626753911816631,0.0625722088636863,5000,0.018998100189981,0.056994300569943,conditional association in the fixed broad-review panel; concept-cluster uncertainty
single::anthropic,single_judge,Claude Sonnet 4.6,1,one fixed judge family; equivalent source UIDs averaged within visible text,quality_aligned_high_is_good; aligned risk = 6 - raw risk,1068,178,30,domain+task+dimension,0.1227053105343668,0.0739838326025833,0.0468440569684996,1.397953451043339,1.6688379955205743,0.122887377379992,0.1224506204149128,4.157303370786517,2.860941680042804,0.0210837135368785,0.2173330131625106,0.0494447932323996,5000,0.0068993100689931,0.0275972402759724,conditional association in the fixed broad-review panel; concept-cluster uncertainty
